	KO30Cr1	KO30Cr2	KO20Cr1	KO20Cr2	WT30Cr1	WT30Cr2	WT20Cr1	WT20Cr2
YLR189C	1520.0	2166.0	1746.0	1451.0	4255.0	3332.0	2264.0	2362.0
YLR190W	1275.0	1445.0	1732.0	1413.0	1796.0	1605.0	1803.0	1516.0
YLR191W	828.0	991.0	1176.0	858.0	1708.0	1453.0	1004.0	1073.0
YLR192C	5825.0	5735.0	6547.0	5773.0	7445.0	7653.0	6376.0	5231.0
YLR193C	850.0	949.0	697.0	676.0	1391.0	1328.0	500.0	570.0
YLR194C	862.0	846.0	1007.0	915.0	1308.0	1143.0	724.0	526.0
YLR195C	1726.0	2233.0	1919.0	1772.0	3363.0	3012.0	2002.0	2109.0
YLR196W	2553.0	3328.0	4817.0	4509.0	6020.0	5200.0	3120.0	3877.0
YLR197W	13145.0	18148.0	23917.0	21363.0	27462.0	25642.0	15239.0	18463.0
YLR199C	543.0	624.0	528.0	433.0	793.0	717.0	431.0	420.0
YLR200W	968.0	1500.0	1475.0	1322.0	2769.0	2447.0	1277.0	1571.0
YLR201C	591.0	875.0	746.0	725.0	627.0	488.0	480.0	567.0
YLR203C	1116.0	1470.0	1468.0	1072.0	1453.0	1313.0	1627.0	1608.0
YLR204W	1049.0	1289.0	1836.0	1234.0	1583.0	1640.0	2082.0	1879.0
YLR205C	189.0	193.0	441.0	403.0	322.0	264.0	722.0	535.0
YLR206W	2867.0	3301.0	2737.0	2164.0	5505.0	4569.0	3459.0	2517.0
YLR207W	1474.0	1943.0	2168.0	1606.0	2254.0	2086.0	1965.0	1952.0
YLR208W	1869.0	2418.0	2172.0	2375.0	3117.0	2730.0	1802.0	2207.0
YLR209C	860.0	1024.0	1071.0	893.0	1195.0	1158.0	741.0	918.0
YLR210W	713.0	804.0	659.0	682.0	878.0	750.0	603.0	555.0
YLR211C	159.0	169.0	115.0	140.0	312.0	219.0	141.0	162.0
YLR212C	354.0	438.0	420.0	367.0	975.0	845.0	322.0	431.0
YLR213C	46.0	55.0	149.0	149.0	102.0	67.0	121.0	96.0
YLR214W	308.0	223.0	715.0	582.0	1223.0	700.0	1315.0	1569.0
YLR215C	622.0	758.0	906.0	740.0	1042.0	992.0	540.0	565.0
YLR216C	5467.0	6288.0	4060.0	3502.0	6618.0	5990.0	4762.0	4895.0
YLR218C	350.0	448.0	396.0	323.0	728.0	704.0	550.0	669.0
YLR219W	953.0	1095.0	1076.0	1109.0	1790.0	1512.0	1022.0	909.0
YLR220W	927.0	1169.0	1049.0	827.0	2157.0	2001.0	844.0	701.0
YLR221C	1660.0	2140.0	2976.0	3162.0	2569.0	2346.0	2415.0	2206.0
YLR222C	3760.0	4672.0	7880.0	6207.0	4854.0	4442.0	5064.0	5455.0
YLR223C	2499.0	2970.0	3911.0	3578.0	3978.0	3454.0	2888.0	2569.0
YLR224W	603.0	819.0	1084.0	933.0	1355.0	1199.0	717.0	794.0
YLR225C	1290.0	1656.0	4160.0	3193.0	1668.0	1590.0	4174.0	3258.0
YLR226W	522.0	664.0	691.0	668.0	867.0	711.0	546.0	587.0
YLR227C	96.0	146.0	247.0	181.0	201.0	170.0	145.0	142.0
YLR227W-B	1825.0	2191.0	1143.0	589.0	1959.0	1416.0	3488.0	2210.0
YLR228C	400.0	558.0	742.0	606.0	1271.0	1065.0	684.0	692.0
YLR229C	802.0	1063.0	1287.0	992.0	1653.0	1492.0	983.0	1213.0
YLR231C	1232.0	1442.0	600.0	608.0	1882.0	1679.0	570.0	668.0
YLR233C	235.0	267.0	288.0	293.0	236.0	214.0	196.0	234.0
YLR234W	142.0	194.0	186.0	150.0	409.0	412.0	166.0	156.0
YLR237W	156.0	235.0	401.0	380.0	349.0	309.0	342.0	535.0
