"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"YIL002W-A",2530.54505029644,0.645406631702395,0.13576102436171,4.75399058556624,1.99440328469661e-06,0.000154819275876225
"YGR133W",266.162339583051,-0.614079145757786,0.129640033352139,-4.73680181869262,2.17117296074771e-06,0.000166062802483071
"YLR413W",4079.4430350575,0.959768957191695,0.202797553233772,4.73264564531178,2.21612180288843e-06,0.000167044195606126
"YJL166W",1895.50089461331,0.562643930680857,0.120459220823512,4.67082492178165,2.99992549897754e-06,0.000222894464574031
"YBR286W",12540.2961403678,0.273645085448295,0.0586458498980702,4.66606052983981,3.07029289634562e-06,0.000224909765547796
"YDR516C",1108.11221931766,-0.757397423567229,0.162595631143449,-4.65816589437768,3.19039073394294e-06,0.000230461419544962
"YKL109W",689.39985422096,0.561386940509358,0.120639842154346,4.65341242564891,3.26486301058666e-06,0.000232610308466592
"YML103C",4435.92539521263,0.519780906794658,0.113051966084083,4.59771665012946,4.27146365232614e-06,0.000300214627780382
"YML063W",50004.1159067763,0.642560259284495,0.140354208708783,4.57813317602555,4.6914398782337e-06,0.00032533571742258
"YNL202W",54.3124275291585,-1.78642498346343,0.390904285886168,-4.56998055013305,4.87769481325625e-06,0.000333801193733497
"YLR056W",4350.08878906768,-0.501852667143214,0.109894602056675,-4.5666725912925,4.95527063250567e-06,0.000334706007268338
"YOL086C",75173.9302320132,-1.25279308642005,0.275331357656975,-4.55012860533257,5.36131376854622e-06,0.000357489652694986
"YGL117W",220.339922361057,-1.7268853626974,0.381418251710128,-4.52753730309112,5.9675069176674e-06,0.000392029458655278
"YML035C",2731.12963619159,-0.329911783621304,0.0729033246762576,-4.52533248773421,6.03006281338631e-06,0.000392029458655278
"YML126C",4193.05132006215,-0.870331228288103,0.192451875039386,-4.52233176792892,6.11620938294568e-06,0.000392721049391364
"YGR142W",589.265282043988,-0.651953483740582,0.145047978657501,-4.49474366878304,6.96538016604522e-06,0.000441791978580503
"YNL160W",6095.42162623063,0.756117366705117,0.169232332413501,4.46792498762959,7.89819900232974e-06,0.000494922084471289
"YMR266W",2998.13091469995,-0.430365245651919,0.0965434940755987,-4.45773430693238,8.2830477806296e-06,0.000512858708417316
"YNR010W",186.897395090926,0.708842983940093,0.159490920962745,4.44440962320149,8.81335462122782e-06,0.000523104831879758
"YOL072W",579.491166942538,0.476276381436695,0.107181334467422,4.44365041546912,8.84452718689251e-06,0.000523104831879758
"YOR027W",12034.0156790262,-0.954941095902767,0.214907561984022,-4.44349694858,8.85084122388362e-06,0.000523104831879758
"YPR163C",18666.7486542065,-0.560426207358762,0.125968228048744,-4.4489488821094,8.62915484718915e-06,0.000523104831879758
"YHR071W",645.142016698444,-0.93765790515939,0.212653548983669,-4.40932168609797,1.03694898437753e-05,0.000605974344690735
"YHR042W",2520.1931087891,-0.532642473673226,0.12089337824525,-4.40588625617428,1.05352238218654e-05,0.000608818878861356
"YLR348C",981.60671109904,-1.02712946774789,0.234335569249579,-4.38315647529353,1.16972033729407e-05,0.000668540162007303
"YGR001C",1874.05751069395,0.551142851488491,0.125995101952846,4.37431965962263,1.21811774750362e-05,0.000681529264079591
"YHR024C",1849.07234350418,-0.560603464090981,0.128165995528328,-4.37404213013018,1.21966824655482e-05,0.000681529264079591
"YMR214W",1517.05628904356,-0.352477836909345,0.080623682778461,-4.37188955852946,1.23175833154166e-05,0.000681529264079591
"YCR054C",688.119966683403,0.489941393918345,0.11214361769323,4.36887451998011,1.24888495190716e-05,0.000683731645775701
"YKL145W",6590.9888433766,-0.588736176649242,0.135137271707954,-4.35657882690991,1.32111128746296e-05,0.000708619770887683
