	KO30Cr1	KO30Cr2	KO20Cr1	KO20Cr2	WT30Cr1	WT30Cr2	WT20Cr1	WT20Cr2
YCL057C-A	265.0	331.0	628.0	596.0	326.0	496.0	313.0	194.0
YCL057W	536.0	539.0	1435.0	1378.0	853.0	1009.0	1080.0	502.0
YCL058C	9.0	10.0	4.0	7.0	2.0	1.0	1.0	1.0
YCL058W-A	60.0	41.0	199.0	214.0	70.0	94.0	78.0	40.0
YCL059C	287.0	274.0	1112.0	1112.0	496.0	548.0	662.0	345.0
YCL061C	96.0	132.0	309.0	235.0	177.0	233.0	225.0	113.0
YCL063W	68.0	70.0	173.0	174.0	88.0	122.0	111.0	59.0
YCL064C	431.0	413.0	182.0	142.0	474.0	576.0	45.0	31.0
YCR002C	327.0	326.0	643.0	565.0	514.0	685.0	678.0	287.0
YCR003W	97.0	95.0	300.0	270.0	131.0	155.0	231.0	142.0
YCR004C	946.0	937.0	1673.0	1741.0	1112.0	1487.0	1074.0	622.0
YCR005C	75.0	82.0	732.0	813.0	278.0	298.0	1764.0	927.0
YCR007C	4.0	3.0	14.0	15.0	12.0	14.0	8.0	2.0
YCR008W	105.0	135.0	265.0	292.0	164.0	216.0	223.0	111.0
YCR009C	527.0	442.0	1094.0	1175.0	743.0	898.0	842.0	445.0
YCR010C	2.0	2.0	1.0	2.0	2.0	3.0	3.0	3.0
YCR011C	354.0	370.0	718.0	729.0	504.0	694.0	662.0	345.0
YCR012W	33587.0	33566.0	43296.0	43782.0	52844.0	73867.0	85960.0	42034.0
YCR015C	34.0	21.0	102.0	68.0	43.0	66.0	69.0	26.0
YCR016W	176.0	151.0	703.0	663.0	214.0	298.0	381.0	213.0
YCR017C	354.0	350.0	908.0	779.0	563.0	690.0	715.0	414.0
YCR018C	9.0	7.0	15.0	6.0	22.0	27.0	17.0	6.0
YCR019W	50.0	32.0	102.0	84.0	49.0	60.0	49.0	22.0
YCR020C	4.0	4.0	5.0	7.0	3.0	3.0	11.0	7.0
YCR020C-A	50.0	53.0	138.0	143.0	74.0	96.0	80.0	57.0
YCR020W-B	40.0	42.0	190.0	170.0	61.0	77.0	49.0	31.0
YCR021C	7.0	6.0	17.0	38.0	22.0	20.0	34.0	25.0
YCR023C	52.0	57.0	80.0	106.0	97.0	101.0	106.0	51.0
YCR024C	24.0	23.0	41.0	51.0	22.0	42.0	51.0	24.0
YCR024C-A	728.0	765.0	2499.0	2396.0	1350.0	1604.0	1700.0	731.0
YCR026C	121.0	111.0	317.0	276.0	154.0	173.0	214.0	104.0
YCR027C	32.0	35.0	88.0	116.0	54.0	62.0	46.0	34.0
YCR028C	62.0	70.0	190.0	157.0	119.0	138.0	149.0	79.0
YCR028C-A	507.0	569.0	1560.0	1518.0	911.0	1164.0	1045.0	637.0
YCR030C	362.0	399.0	857.0	801.0	492.0	646.0	490.0	274.0
YCR031C	5635.0	6168.0	17283.0	16315.0	7887.0	11028.0	9785.0	5232.0
YCR032W	60.0	53.0	142.0	160.0	79.0	70.0	81.0	38.0
YCR033W	133.0	141.0	370.0	337.0	159.0	186.0	211.0	97.0
YCR034W	949.0	905.0	1716.0	1683.0	1246.0	1473.0	1331.0	795.0
YCR035C	203.0	184.0	574.0	571.0	271.0	358.0	349.0	198.0
YCR036W	129.0	142.0	371.0	412.0	205.0	244.0	277.0	140.0
YCR037C	147.0	166.0	384.0	421.0	253.0	302.0	246.0	136.0
YCR038C	11.0	5.0	11.0	11.0	5.0	9.0	17.0	5.0
YCR042C	219.0	234.0	491.0	533.0	318.0	333.0	339.0	162.0
YCR043C	120.0	133.0	232.0	209.0	197.0	261.0	128.0	75.0
YCR044C	104.0	98.0	261.0	230.0	150.0	202.0	198.0	107.0
YCR046C	112.0	109.0	207.0	237.0	150.0	194.0	183.0	90.0
YCR047C	158.0	166.0	418.0	411.0	177.0	281.0	226.0	116.0
YCR048W	109.0	86.0	147.0	140.0	207.0	229.0	178.0	88.0
YCR051W	200.0	207.0	599.0	587.0	270.0	357.0	333.0	170.0
YCR052W	208.0	220.0	433.0	399.0	284.0	343.0	353.0	172.0
YCR053W	1915.0	2058.0	4656.0	4384.0	3428.0	4384.0	4360.0	2293.0
YCR054C	90.0	86.0	312.0	291.0	130.0	152.0	161.0	83.0
YCR057C	284.0	300.0	1088.0	963.0	439.0	582.0	691.0	341.0
YCR059C	57.0	57.0	143.0	117.0	89.0	135.0	124.0	67.0
YCR060W	50.0	66.0	85.0	108.0	73.0	104.0	50.0	28.0
YCR061W	331.0	314.0	712.0	706.0	319.0	419.0	447.0	250.0
YCR063W	26.0	22.0	100.0	76.0	38.0	37.0	46.0	26.0
YCR065W	250.0	262.0	410.0	376.0	363.0	447.0	257.0	118.0
YCR066W	39.0	40.0	123.0	124.0	53.0	63.0	67.0	34.0
YCR067C	157.0	211.0	321.0	259.0	299.0	331.0	347.0	151.0
YCR068W	37.0	56.0	75.0	86.0	53.0	70.0	83.0	36.0
YCR069W	206.0	199.0	399.0	372.0	321.0	385.0	409.0	217.0
YCR071C	78.0	72.0	177.0	202.0	124.0	151.0	164.0	95.0
YCR072C	252.0	244.0	858.0	812.0	305.0	445.0	496.0	270.0
YCR073C	12.0	8.0	44.0	43.0	20.0	15.0	26.0	20.0
YCR073W-A	183.0	200.0	428.0	439.0	266.0	337.0	252.0	141.0
YCR075C	41.0	43.0	48.0	62.0	70.0	71.0	58.0	27.0
YCR075W-A	42.0	38.0	102.0	100.0	58.0	97.0	76.0	30.0
YCR076C	88.0	102.0	165.0	165.0	98.0	162.0	121.0	42.0
YCR077C	630.0	653.0	1895.0	1889.0	939.0	1183.0	1310.0	738.0
YCR079W	16.0	9.0	28.0	30.0	15.0	18.0	37.0	11.0
YCR081W	67.0	75.0	152.0	152.0	97.0	100.0	85.0	50.0
YCR082W	80.0	77.0	216.0	264.0	154.0	200.0	187.0	104.0
YCR083W	59.0	106.0	361.0	297.0	145.0	161.0	214.0	110.0
YCR084C	561.0	654.0	1414.0	1305.0	803.0	1034.0	822.0	496.0
YCR086W	58.0	69.0	135.0	154.0	97.0	112.0	82.0	53.0
YCR087C-A	141.0	158.0	609.0	615.0	207.0	235.0	250.0	149.0
YCR088W	1853.0	1991.0	4564.0	4298.0	2877.0	3741.0	3181.0	1788.0
YCR089W	228.0	236.0	823.0	547.0	123.0	184.0	452.0	215.0
YCR090C	111.0	110.0	257.0	276.0	158.0	193.0	153.0	82.0
YCR091W	31.0	36.0	63.0	78.0	26.0	50.0	44.0	21.0
YCR092C	81.0	93.0	195.0	188.0	166.0	188.0	141.0	65.0
YCR093W	709.0	771.0	1909.0	1684.0	1210.0	1272.0	1394.0	634.0
YCR094W	118.0	133.0	310.0	302.0	140.0	203.0	202.0	152.0
YCR095C	54.0	45.0	177.0	147.0	79.0	94.0	96.0	60.0
YCR101C	3.0	5.0	14.0	9.0	1.0	6.0	4.0	3.0
YCR106W	16.0	12.0	40.0	47.0	18.0	24.0	18.0	21.0
YDL001W	80.0	82.0	154.0	174.0	88.0	106.0	118.0	58.0
YDL002C	101.0	95.0	287.0	304.0	152.0	161.0	159.0	102.0
YDL003W	239.0	208.0	392.0	403.0	333.0	397.0	320.0	170.0
YDL004W	591.0	684.0	1230.0	1267.0	730.0	978.0	593.0	304.0
YDL005C	112.0	99.0	300.0	298.0	166.0	171.0	172.0	115.0
YDL006W	80.0	71.0	197.0	162.0	103.0	123.0	114.0	51.0
YDL007W	865.0	924.0	2620.0	2526.0	1373.0	1664.0	1786.0	1017.0
YDL008W	51.0	56.0	81.0	83.0	72.0	98.0	77.0	26.0
YDL010W	87.0	96.0	223.0	222.0	165.0	200.0	163.0	116.0
YDL012C	166.0	165.0	304.0	286.0	249.0	299.0	209.0	119.0
YDL013W	65.0	66.0	128.0	135.0	60.0	72.0	90.0	27.0
YDL014W	2200.0	2368.0	6837.0	6664.0	3368.0	4616.0	4665.0	2479.0
YDL015C	683.0	759.0	2041.0	1869.0	1043.0	1308.0	1148.0	595.0
YDL017W	45.0	30.0	97.0	99.0	73.0	93.0	86.0	41.0
YDL018C	94.0	74.0	125.0	134.0	167.0	152.0	136.0	91.0
YDL019C	279.0	313.0	742.0	651.0	437.0	472.0	566.0	291.0
YDL020C	134.0	150.0	404.0	382.0	181.0	241.0	222.0	103.0
YDL021W	47.0	40.0	30.0	44.0	51.0	79.0	47.0	28.0
YDL022W	1944.0	2277.0	3883.0	4068.0	2710.0	3700.0	2959.0	1458.0
YDL024C	5.0	1.0	14.0	6.0	1.0	4.0	5.0	2.0
YDL025C	73.0	62.0	132.0	139.0	104.0	148.0	171.0	84.0
YDL027C	34.0	43.0	94.0	99.0	77.0	83.0	71.0	32.0
YDL028C	77.0	88.0	201.0	188.0	111.0	125.0	117.0	76.0
YDL029W	593.0	570.0	1485.0	1558.0	935.0	1144.0	1213.0	632.0
YDL030W	45.0	65.0	165.0	185.0	91.0	119.0	111.0	62.0
YDL031W	429.0	461.0	1885.0	1725.0	627.0	840.0	980.0	520.0
YDL033C	16.0	22.0	37.0	31.0	22.0	38.0	25.0	16.0
YDL035C	79.0	102.0	143.0	137.0	113.0	147.0	129.0	71.0
YDL036C	58.0	52.0	141.0	133.0	76.0	119.0	82.0	46.0
YDL040C	758.0	803.0	1727.0	1801.0	1149.0	1589.0	1378.0	807.0
YDL042C	100.0	78.0	209.0	221.0	95.0	126.0	110.0	54.0
YDL043C	76.0	67.0	233.0	203.0	97.0	114.0	115.0	59.0
YDL044C	58.0	62.0	128.0	141.0	87.0	113.0	98.0	71.0
YDL045C	63.0	74.0	151.0	159.0	67.0	114.0	88.0	57.0
YDL045W-A	94.0	138.0	226.0	227.0	146.0	175.0	184.0	102.0
YDL046W	492.0	553.0	1601.0	1593.0	468.0	559.0	672.0	342.0
YDL047W	213.0	192.0	507.0	461.0	290.0	320.0	381.0	183.0
YDL048C	59.0	81.0	305.0	292.0	22.0	72.0	88.0	31.0
YDL049C	9.0	15.0	33.0	32.0	25.0	30.0	46.0	30.0
YDL051W	430.0	433.0	1131.0	1020.0	833.0	1072.0	1138.0	585.0
YDL052C	216.0	215.0	408.0	443.0	434.0	466.0	480.0	266.0
YDL053C	164.0	186.0	367.0	372.0	239.0	313.0	298.0	181.0
YDL054C	80.0	87.0	191.0	187.0	135.0	133.0	199.0	91.0
YDL055C	6171.0	6924.0	8175.0	7979.0	11160.0	14551.0	9430.0	4968.0
YDL056W	115.0	93.0	233.0	210.0	157.0	176.0	152.0	92.0
YDL057W	42.0	32.0	89.0	78.0	57.0	50.0	48.0	38.0
YDL058W	284.0	290.0	570.0	544.0	558.0	596.0	495.0	233.0
YDL059C	7.0	11.0	23.0	31.0	10.0	16.0	18.0	8.0
YDL060W	284.0	280.0	964.0	834.0	439.0	551.0	580.0	322.0
YDL061C	2088.0	2265.0	6549.0	6572.0	2887.0	3510.0	3137.0	1935.0
YDL063C	159.0	201.0	639.0	606.0	268.0	336.0	374.0	224.0
YDL064W	260.0	264.0	483.0	456.0	358.0	432.0	250.0	152.0
YDL065C	194.0	160.0	438.0	436.0	310.0	339.0	329.0	166.0
YDL066W	932.0	930.0	2106.0	2074.0	1758.0	2284.0	2396.0	1325.0
YDL067C	241.0	261.0	705.0	825.0	310.0	406.0	252.0	152.0
YDL069C	13.0	10.0	27.0	25.0	12.0	14.0	22.0	16.0
YDL070W	244.0	313.0	1076.0	993.0	536.0	679.0	830.0	468.0
YDL072C	470.0	460.0	1376.0	1390.0	627.0	715.0	867.0	498.0
YDL073W	58.0	52.0	182.0	158.0	85.0	101.0	122.0	69.0
YDL074C	239.0	252.0	604.0	577.0	331.0	408.0	387.0	215.0
YDL075W	4036.0	4221.0	11567.0	11161.0	5957.0	7874.0	6626.0	3900.0
YDL076C	87.0	77.0	166.0	189.0	128.0	152.0	141.0	77.0
YDL077C	81.0	74.0	110.0	116.0	99.0	96.0	103.0	65.0
YDL078C	533.0	565.0	1305.0	1321.0	712.0	926.0	882.0	453.0
YDL080C	37.0	24.0	86.0	66.0	46.0	53.0	73.0	34.0
YDL081C	3208.0	3465.0	6224.0	6027.0	5639.0	8264.0	7408.0	3453.0
YDL082W	3519.0	3544.0	7609.0	7490.0	5524.0	7089.0	6632.0	3477.0
YDL083C	3121.0	3099.0	7581.0	8037.0	4699.0	6429.0	4891.0	2787.0
YDL084W	2762.0	3042.0	6174.0	6102.0	4441.0	5909.0	4763.0	2452.0
YDL085C-A	78.0	65.0	94.0	65.0	121.0	156.0	63.0	32.0
